composition,Eg (eV),Classified,Compound,Number of Elements,Elements+Coeff,At no_sum,At no_wt_avg,At no_maximum,At no_minimum,At wt_sum,At wt_wt_avg,At wt_maximum,At wt_minimum,At Rad_sum,At Rad_wt_avg,At Rad_maximum,At Rad_minimum,Cov Rad_sum,Cov Rad_wt_avg,Cov Rad_maximum,Cov Rad_minimum,Ion Rad_sum,Ion Rad_wt_avg,Ion Rad_maximum,Ion Rad_minimum,No of val e-_sum,No of val e-_wt_avg,No of val e-_maximum,No of val e-_minimum,s e-_sum,s e-_wt_avg,s e-_maximum,s e-_minimum,p e-_sum,p e-_wt_avg,p e-_maximum,p e-_minimum,d e-_sum,d e-_wt_avg,d e-_maximum,d e-_minimum,outer shell e-_sum,outer shell e-_wt_avg,outer shell e-_maximum,outer shell e-_minimum,first IE_sum,first IE_wt_avg,first IE_maximum,first IE_minimum,polarizability_sum,polarizability_wt_avg,polarizability_maximum,polarizability_minimum,MP_sum,MP_wt_avg,MP_maximum,MP_minimum,BP_sum,BP_wt_avg,BP_maximum,BP_minimum,density_sum,density_wt_avg,density_maximum,density_minimum,specific heat_sum,specific heat_wt_avg,specific heat_maximum,specific heat_minimum,heat fusion_sum,heat fusion_wt_avg,heat fusion_maximum,heat fusion_minimum,heat vap_sum,heat vap_wt_avg,heat vap_maximum,heat vap_minimum,ther cond_sum,ther cond_wt_avg,ther cond_maximum,ther cond_minimum
CsB3GeO7,5.76,1,CsB3GeO7,4,"[['Cs', 1], ['B', '3'], ['Ge', 1], ['O', '7']]",0.298701299,0.116603295,0.574712644,0.074074074,0.349607674,0.212382832,0.537345121,0.471023618,0.466372657,0.145484266,1,0.042253521,0.493894166,0.225149105,1,0.251798561,0.556414219,0.493658862,0.730964467,0.137724551,0.4,0.229885057,0.5,0,0.444444444,0.248003195,0.7,0.3,0.411764706,0.196329492,0.793103448,0.041666667,0.285714286,0.087121212,0.625,0,0.363636364,0.333333333,0.294117647,0,0.548688429,0.622908258,0.650380952,0,0.45286126,0.125806452,1,0.019270475,0.467672231,0.246780143,0.619726617,0.022187755,0.477737825,0.26462695,0.63129315,0.014673896,0.172976805,0.083828972,0.216540061,0.000145299,0.11651674,0.060994379,0.058798496,0.18321392,0.507836875,0.240062229,0.472978153,0,0.452243777,0.246991976,0.627983748,0.005107411,0.126645272,0.05139936,0.139436619,0.000117874
Pb0.97Sn0.03Te,0.3,1,Pb0.97Sn0.03Te,3,"[['Pb', '0.97'], ['Sn', '0.03'], ['Te', 1]]",0.571428571,0.83443112,0.885057471,0.907407407,0.608951181,0.852564937,0.864320109,0.938498036,0.316427784,0.407184307,0.317535545,0.570422535,0.369063772,0.53416501,0.383647799,0.769784173,0.404945904,0.502130828,0.487309645,0.413173653,0.6,0.689655172,0.833333333,0.6,0.555555556,0.915223642,0.8,0.9,0.656862745,0.909398207,0.862068966,0.833333333,0.666666667,0.865984848,0.9375,1,0.363636364,0.363636364,0.294117647,0.6,0.341715267,0.417033799,0.359428571,0.468411425,0.115891313,0.120109349,0.083465399,0.285960083,0.169637044,0.153743774,0.141319419,0.157877551,0.30559514,0.239585104,0.44317333,0.091872153,0.43104513,0.614032188,0.488605534,0.545534905,0.011816682,0.002781776,0.001134832,0.065506653,0.170746445,0.171595904,0.161556152,0.09140217,0.253642165,0.172869288,0.356437278,0.082046415,0.108079707,0.067843017,0.155717548,0.01994185
PtAs2,0.55,1,PtAs2,2,"[['Pt', 1], ['As', '2']]",0.334415584,0.585258848,0.83908046,0.592592593,0.393783366,0.61363397,0.810979241,0.748783938,0.17199559,0.390682468,0.426540284,0.507042254,0.141112619,0.431411531,0.320754717,0.633093525,0.150695518,0.232439926,0.200507614,0.347305389,0.45,0.747126437,0.833333333,0.8,0.266666667,0.698083067,0.7,0.7,0.37254902,0.677336748,0.793103448,0.625,0.371428571,0.569191919,0.90625,0.5,0.121212121,0.242424242,0.235294118,0,0.186321291,0.478402345,0.300952381,0.695511468,0.047962124,0.088846364,0.062334918,0.217136958,0.234796229,0.217082223,0.51495742,0,0.280577755,0.384431196,0.661433393,0.18177021,0.504767193,0.852528525,0.94574064,0.669628929,0.007345505,0.011201328,0.009007731,0.071647902,0.281301254,0.393264533,0.259486393,0.390920048,0.255981287,0.282752275,0.606399187,0.055215253,0.124558098,0.198708782,0.165020936,0.333293775
SnGa4S7,3.1,1,SnGa4S7,3,"[['Sn', 1], ['Ga', '4'], ['S', '7']]",0.288961039,0.260115043,0.517241379,0.277777778,0.335740445,0.318416848,0.474870158,0.563111299,0.256890849,0.259092767,0.274881517,0.316901408,0.291723202,0.364811133,0.339622642,0.532374101,0.224111283,0.167488191,0.233502538,0.221556886,0.55,0.66091954,0.833333333,0.4,0.377777778,0.477635783,0.6,0.5,0.411764706,0.435197041,0.655172414,0.416666667,0.285714286,0.174242424,0.625,0,0.333333333,0.348484848,0.294117647,0.4,0.304976142,0.389412012,0.351028571,0.285774588,0.102099629,0.088080919,0.088748019,0.136269787,0.134704936,0.112712511,0.116606823,0.123644898,0.33656294,0.272044097,0.44317333,0.146624171,0.276778397,0.280984553,0.305028034,0.229095144,0.051631447,0.03620563,0.035747216,0.157625384,0.078689374,0.048645927,0.062859333,0.030333467,0.27453154,0.174995833,0.356437278,0.016133207,0.099021742,0.053506321,0.155717548,0.001307411
Si3N4,5.1,1,Si3N4,2,"[['Si', '3'], ['N', '4']]",0.042207792,0.073998245,0.103448276,0.111111111,0.126554431,0.169731382,0.076026141,0.484869221,0.035281147,0.118862747,0.113744076,0.098591549,0.042062415,0.213575689,0.163522013,0.287769784,0.046367852,0.035164158,0.086294416,0.077844311,0.25,0.418719212,0.5,0.4,0.066666667,0.241442264,0.2,0.3,0.098039216,0.172489482,0.24137931,0.125,0,0,0,0,0.212121212,0.324675325,0.235294118,0.6,0.280163599,0.702276407,0.734571429,0.577880962,0.018526142,0.043200812,0.043845747,0.031314522,0.199786274,0.242694939,0.421829244,0.025787755,0.157091633,0.251140824,0.453532051,0.011974915,0.034028446,0.066740263,0.081208175,0.000120187,0.075956779,0.066001398,0.059507767,0.66223132,0.300785537,0.340199155,0.474894596,0.002812374,0.174284915,0.236983169,0.440071102,0.004037615,0.154451785,0.224172059,0.348762847,0.000112873
Gd1.05Sc0.95Se3,1.2,1,Gd1.05Sc0.95Se3,3,"[['Gd', '1.05'], ['Sc', '0.95'], ['Se', '3']]",0.36038961,0.448429365,0.67816092,0.37037037,0.406873787,0.491900004,0.644487076,0.618957074,0.424476295,0.443105844,0.691943128,0.429577465,0.454545455,0.555427435,0.698113208,0.64028777,0.301854714,0.25702557,0.359390863,0.299401198,0.5,0.655172414,0.833333333,0.4,0.466666667,0.680447284,0.8,0.7,0.5,0.634929577,0.793103448,0.5,0.304761905,0.369393939,0.65625,0.05,0.242424242,0.309090909,0.294117647,0.2,0.273902396,0.362257728,0.295142857,0.304347826,0.286743516,0.212815746,0.366085578,0.191328286,0.451352652,0.313475038,0.454682795,0.2,0.423067826,0.359055141,0.511686273,0.197117275,0.28108043,0.375501414,0.332835956,0.350262422,0.042848778,0.01876556,0.025959288,0.181166837,0.182091724,0.126705311,0.146320429,0.104057855,0.318557881,0.211994774,0.38801422,0.044085929,0.028283099,0.019647304,0.037099353,0.003407536
Cs2ZnGe3Se8,2.31,1,Cs2ZnGe3Se8,4,"[['Cs', '2'], ['Zn', 1], ['Ge', '3'], ['Se', '8']]",0.464285714,0.427652196,0.574712644,0.537037037,0.487425548,0.47037382,0.537345121,0.707488147,0.587651599,0.407145776,1,0.429577465,0.617367707,0.510082363,1,0.64028777,0.496136012,0.286499134,0.730964467,0.299401198,0.55,0.615763547,0.833333333,0,0.622222222,0.635098129,0.7,0.7,0.637254902,0.615633193,0.793103448,0.5,0.476190476,0.398268398,0.625,0.5,0.333333333,0.324675325,0.294117647,0,0.481229014,0.373222507,0.295142857,0,0.492589543,0.25099586,1,0.191328286,0.311794069,0.200656996,0.299727859,0.123265306,0.358827076,0.277520207,0.484789945,0.195792802,0.345790966,0.340937322,0.29688913,0.219905162,0.050513653,0.015641747,0.013263352,0.18321392,0.276923456,0.164562801,0.298869299,0.037565287,0.266431059,0.157308505,0.408329101,0.044085929,0.222934093,0.093613567,0.278987438,0.003407536
CeO2,3.41,1,CeO2,2,"[['Ce', 1], ['O', '2']]",0.188311688,0.271326899,0.609195402,0.12962963,0.260248026,0.3442868,0.569074884,0.493502457,0.078280044,0.143849612,0.336492891,0.042253521,0.1614654,0.355864811,0.748427673,0.251798561,0.34064915,0.618196755,0.593908629,0.619161677,0.2,0.287356322,0.5,0.2,0.2,0.440894569,0.8,0.3,0.264705882,0.389386826,0.793103448,0.166666667,0.2,0.243939394,0.65625,0,0.181818182,0.333333333,0.294117647,0.2,0.192557247,0.613064765,0.650380952,0.214014352,0.184849732,0.209130672,0.474379292,0.019270475,0.125970729,0.120280252,0.262217899,0.022187755,0.207889344,0.250732339,0.597100285,0.014673896,0.118178001,0.165975519,0.281967806,0.000145299,0.041943897,0.046868385,0.050925598,0.132036847,0.024306027,0.024683925,0.046569567,0,0.170023645,0.180365111,0.428643982,0.005107411,0.011296534,0.012749599,0.025470118,0.000117874
KAgAsS2,2.21,1,KAgAsS2,4,"[['K', 1], ['Ag', 1], ['As', 1], ['S', '2']]",0.347402597,0.291956712,0.482758621,0.277777778,0.374967304,0.34350476,0.427154727,0.563111299,0.522601985,0.411279117,0.739336493,0.316901408,0.571234735,0.495427435,0.742138365,0.532374101,0.519319938,0.343705073,0.583756345,0.221556886,0.55,0.482758621,0.833333333,0,0.511111111,0.499680511,0.5,0.5,0.529411765,0.481007256,0.586206897,0.416666667,0.285714286,0.209090909,0.625,0,0.333333333,0.254545455,0.294117647,0,0.509323639,0.373030033,0.351028571,0.060644435,0.373816385,0.245784582,0.70945589,0.136269787,0.224810572,0.14620099,0.30543972,0,0.286685087,0.220082468,0.359758369,0.146624171,0.350822639,0.319223302,0.450623983,0.101840234,0.09059456,0.035602078,0.039435421,0.17604913,0.254541194,0.136217121,0.259486393,0.030333467,0.180158145,0.114752141,0.306995937,0.016133207,0.597493072,0.404780507,1,0.001307411
Mn11Si19,0.8,1,Mn11Si19,2,"[['Mn', '11'], ['Si', '19']]",0.100649351,0.18208053,0.229885057,0.240740741,0.17454733,0.253387852,0.19420587,0.545865709,0.151047409,0.362893339,0.3507109,0.485915493,0.134328358,0.411133201,0.339622642,0.575539568,0.097372488,0.134729924,0.116751269,0.239520958,0.3,0.517241379,0.5,0.6,0.155555556,0.448242812,0.4,0.5,0.18627451,0.342267748,0.379310345,0.333333333,0.047619048,0.063888889,0.15625,0,0.121212121,0.206060606,0.176470588,0.2,0.107248353,0.313100442,0.148,0.480793584,0.075751338,0.129961728,0.11251981,0.285960083,0.37126452,0.532055424,0.421829244,0.619183673,0.30360901,0.547872522,0.453532051,0.498802719,0.172354602,0.315401136,0.305932357,0.272762192,0.046095704,0.042439462,0.036101851,0.425793245,0.379955852,0.578567128,0.474894596,0.260747288,0.28473723,0.473591033,0.440071102,0.378828401,0.162355408,0.341096222,0.348762847,0.051277042
SrTe,3.73,1,SrTe,2,"[['Sr', 1], ['Te', 1]]",0.266233766,0.544896168,0.540229885,0.685185185,0.329550696,0.579198712,0.513995596,0.803800035,0.228224917,0.567225174,0.625592417,0.570422535,0.246947083,0.680914513,0.691823899,0.769784173,0.28748068,0.486598891,0.45177665,0.580838323,0.3,0.517241379,0.833333333,0.2,0.288888889,0.808306709,0.6,0.9,0.382352941,0.755868545,0.724137931,0.75,0.285714286,0.522727273,0.625,0.5,0.181818182,0.272727273,0.294117647,0.2,0.120906865,0.331515081,0.359428571,0.244547629,0.215726636,0.36440678,0.471737982,0.285960083,0.162115365,0.228030251,0.255491975,0.157877551,0.098946573,0.198708263,0.217462259,0.091872153,0.127439103,0.274209015,0.186561765,0.304371047,0.009474637,0.010123556,0.007021775,0.141248721,0.146267773,0.196826733,0.161556152,0.156287666,0.084386362,0.139364758,0.158202133,0.082046415,0.039076445,0.066168828,0.081290445,0.01994185
Pb0.97Se0.97Sn0.03Se0.03,0.21,1,Pb0.97Se0.97Sn0.03Se0.03,4,"[['Pb', '0.97'], ['Se', '0.97'], ['Sn', '0.03'], ['Se', '0.03']]",0.623376623,0.713343083,0.885057471,0.611111111,0.644502075,0.73884675,0.864320109,0.766280424,0.407938258,0.358144667,0.317535545,0.429577465,0.507462687,0.480487078,0.383647799,0.64028777,0.409582689,0.369403368,0.487309645,0.299401198,0.9,0.689655172,0.833333333,0.6,0.688888889,0.805,0.8,0.7,0.754901961,0.791600512,0.862068966,0.666666667,0.666666667,0.691742424,0.9375,0.5,0.545454545,0.363636364,0.294117647,0.6,0.562220707,0.382216204,0.295142857,0.468411425,0.131329765,0.102066703,0.083465399,0.191328286,0.239605056,0.171001969,0.141319419,0.2,0.397885301,0.291239373,0.44317333,0.197117275,0.512537384,0.60693463,0.488605534,0.524462335,0.03529036,0.007955079,0.008511242,0.065506653,0.129434832,0.074895441,0.062859333,0.09140217,0.255676184,0.155811653,0.356437278,0.044085929,0.106061104,0.063518029,0.155717548,0.003407536
LaCuOS,3.14,1,LaCuOS,4,"[['La', 1], ['Cu', 1], ['O', 1], ['S', 1]]",0.331168831,0.309447207,0.597701149,0.12962963,0.37093712,0.368872552,0.563751799,0.493502457,0.374862183,0.310993053,0.511848341,0.042253521,0.487109905,0.448310139,0.767295597,0.251798561,0.514837713,0.399196447,0.593908629,0.221556886,0.55,0.387931034,0.833333333,0.2,0.488888889,0.505191693,0.8,0.3,0.480392157,0.461374306,0.793103448,0.166666667,0.295238095,0.270075758,0.65625,0,0.393939394,0.25,0.294117647,0,0.635709056,0.455615304,0.650380952,0.228507106,0.269864142,0.21399672,0.500792393,0.019270475,0.346662483,0.239386879,0.337160212,0.022187755,0.433951486,0.362935428,0.597100285,0.014673896,0.313020296,0.324135029,0.379182492,0.000145299,0.100069197,0.036011631,0.050925598,0.135107472,0.120062646,0.077949098,0.118627827,0,0.352983652,0.272418191,0.492127984,0.005107411,0.42552724,0.360225789,0.930224591,0.000117874
AlSb,1.67,1,AlSb,2,"[['Al', 1], ['Sb', 1]]",0.181818182,0.369991226,0.528735632,0.222222222,0.25159966,0.423767971,0.488280193,0.541082778,0.127894157,0.34409481,0.218009479,0.535211268,0.147896879,0.463220676,0.339622642,0.647482014,0.164605873,0.262091805,0.269035533,0.320359281,0.3,0.517241379,0.666666667,0.4,0.2,0.587859425,0.6,0.5,0.264705882,0.520273154,0.689655172,0.291666667,0.19047619,0.348484848,0.625,0,0.181818182,0.272727273,0.235294118,0.4,0.083895074,0.255896424,0.193047619,0.284086112,0.076780568,0.142974303,0.094030639,0.354783207,0.210310964,0.296362334,0.227429352,0.368934694,0.258495591,0.458894679,0.411188509,0.397890514,0.167662164,0.357897105,0.278079219,0.315890719,0.041943897,0.036421185,0.049861692,0.147389969,0.177282312,0.237025355,0.184074358,0.210124548,0.173374692,0.275050494,0.356272219,0.114830472,0.266684222,0.451581062,0.54645984,0.159950157
Tl2AuPS4,2.2,1,Tl2AuPS4,4,"[['Tl', '2'], ['Au', 1], ['P', 1], ['S', '4']]",0.594155844,0.477625037,0.873563218,0.259259259,0.621707763,0.523140896,0.851923638,0.558379158,0.418963616,0.299959134,0.412322275,0.316901408,0.464043419,0.398359841,0.377358491,0.532374101,0.443585781,0.299509653,0.644670051,0.221556886,0.85,0.689655172,0.833333333,0.4,0.622222222,0.60163738,0.8,0.5,0.656862745,0.574263764,0.827586207,0.375,0.571428571,0.392045455,0.9375,0,0.393939394,0.318181818,0.294117647,0,0.608871721,0.440754639,0.362571429,0.300548755,0.101687937,0.071623838,0.067617538,0.136269787,0.302557395,0.171408908,0.331955381,0.129489796,0.352074237,0.239462471,0.47679374,0.112004137,0.650979458,0.506023133,0.848525954,0.213993135,0.074998669,0.031377213,0.040286545,0.067553736,0.108224094,0.050557293,0.115465696,0.008437123,0.252030205,0.132882857,0.403250381,0.016133207,0.377337648,0.179985769,0.744156833,0.001307411
