Compound,Number of Elements,Elements+Coeff,At no._sum,At no._wt_avg,At no._maximum,At no._minimum,At wt._sum,At wt._wt_avg,At wt._maximum,At wt._minimum,At Rad_sum,At Rad_wt_avg,At Rad_maximum,At Rad_minimum,Cov Rad_sum,Cov Rad_wt_avg,Cov Rad_maximum,Cov Rad_minimum,Ion Rad_sum,Ion Rad_wt_avg,Ion Rad_maximum,Ion Rad_minimum,No of val e-_sum,No of val e-_wt_avg,No of val e-_maximum,No of val e-_minimum,s e-_sum,s e-_wt_avg,s e-_maximum,s e-_minimum,p e-_sum,p e-_wt_avg,p e-_maximum,p e-_minimum,d e-_sum,d e-_wt_avg,d e-_maximum,d e-_minimum,outer shell e-_sum,outer shell e-_wt_avg,outer shell e-_maximum,outer shell e-_minimum,first IE_sum,first IE_wt_avg,first IE_maximum,first IE_minimum,polarizability_sum,polarizability_wt_avg,polarizability_maximum,polarizability_minimum,MP_sum,MP_wt_avg,MP_maximum,MP_minimum,BP_sum,BP_wt_avg,BP_maximum,BP_minimum,density_sum,density_wt_avg,density_maximum,density_minimum,specific heat_sum,specific heat_wt_avg,specific heat_maximum,specific heat_minimum,heat fusion_sum,heat fusion_wt_avg,heat fusion_maximum,heat fusion_minimum,heat vap_sum,heat vap_wt_avg,heat vap_maximum,heat vap_minimum,ther cond_sum,ther cond_wt_avg,ther cond_maximum,ther cond_minimum,Eg (eV)
PtAs2,2,"[['Pt', 1], ['As', '2']]",111,48,78,33,270.00159,114.9743933,195.08,74.92159,291,135,177,114,255,124.6666667,136,119,1.205,0.595,0.625,0.58,11,5.333333333,6,5,19,9,11,8,39,18,24,15,39,16.33333333,29,10,6,3.666666667,5,1,1817,921.3333333,947,870,73,34,44,29,2045,681.6666667,2045,0,4982,1955.666667,4097,885,27.17,10.96333333,21.45,5.72,461,263,328,133,47.4,25.04,27.72,19.68,522.45,184.9666667,490,32.45,121,57,71,50,0.55
SnGa4S7,3,"[['Sn', 1], ['Ga', '4'], ['S', '7']]",97,23.83333333,50,16,220.499,51.83866667,118.71,32.066,368,108.1666667,145,87,366,113.5,139,105,1.68,0.48,0.69,0.37,13,4.833333333,6,3,24,7,10,6,43,11.83333333,20,10,30,5,20,0,13,4.833333333,6,3,2286.98,835.0716667,999.58,578.8,125.6,33.76666667,54,19.6,1196.41,369.6133333,505.12,302.93,5866.824,1411.064,2896,717.824,15.14,3.715916667,7.28,1.957,1293,553,705,217,14.54,3.479166667,7.2,1.73,558.93,115.4775,293.13,9.8,96.205,15.36958333,67,0.205,3.1
Si3N4,2,"[['Si', '3'], ['N', '4']]",21,10,14,7,42.09224,20.04049429,28.0855,14.00674,167,79.57142857,111,56,182,88.14285714,111,71,0.53,0.245714286,0.4,0.13,7,3.428571429,4,3,10,4.857142857,6,4,11,5.142857143,8,3,0,0,0,0,9,4.571428571,5,4,2188.7,1138.342857,1402.3,786.4,44.4,20.08571429,37,7.4,1748.18,758.2457143,1685,63.18,3030.35,1309.771429,2953,77.35,2.3311165,0.999209429,2.33,0.0011165,1750,898.5714286,1040,710,50.56,21.72,50.2,0.36,361.79,155.4514286,359,2.79,150.02583,64.30047429,150,0.02583,5.1
Gd1.05Sc0.95Se3,3,"[['Gd', '1.05'], ['Sc', '0.95'], ['Se', '3']]",119,37.83,64,21,281.16591,88.9401229,157.25,44.95591,520,145.69,233,103,486,145.46,196,120,2.183,0.63853,0.938,0.5,12,4.8,6,3,28,8.84,12,8,52,16.92,24,12,32,10.6,21,1,10,4.4,6,2,2163.9,808.75,940.9,592,305,71.79,159,26,3881,969.87,1812,490,7234,1832.7,3273,958,15.367,4.91443,7.895,2.992,1128,350.73,567,240,31.31,8.3629,15.91,5.4,645.51,139.3371,318,26,27.52,5.662,16,0.52,1.2
Cs2ZnGe3Se8,4,"[['Cs', '2'], ['Zn', 1], ['Ge', '3'], ['Se', '8']]",151,36.28571429,55,30,349.86543,84.33649,132.90543,65.39,668,138.3571429,298,103,606,137.8571429,244,120,3.44,0.690714286,1.67,0.5,13,4.571428571,6,1,35,8.428571429,11,8,66,16.42857143,24,12,50,11.42857143,20,10,13,4.571428571,6,1,2985.1,819.3785714,940.9,375.7,505,83.42857143,399,26,2697.8,632.5571429,1213,302,6218.7,1437.6,3125,951.7,18.7815,4.476142857,7.1,1.8785,1272,314.5,388,242,46.69,10.73142857,31.83,2.09,543,104.0714286,334,26,216.52,26.86857143,120,0.52,2.31
CeO2,2,"[['Ce', 1], ['O', '2']]",66,24.66666667,58,8,156.1144,57.37126667,140.115,15.9994,206,84.66666667,158,48,270,112,204,66,2.434,1.278,1.4,1.034,6,2.666666667,4,2,16,6.666666667,12,4,28,10.66666667,24,4,21,7,21,0,8,4.666666667,6,2,1841.7,1051.866667,1313.9,527.8,206,70.66666667,200,6,1122.36,392.24,1068,54.36,3833.188,1307.792,3743,90.188,6.771331,2.257554,6.77,0.001331,1111,676.6666667,919,192,5.72,1.98,5.5,0.22,353.41,118.94,350,3.41,11.02658,3.684386667,11,0.02658,3.41
KAgAsS2,4,"[['K', 1], ['Ag', 1], ['As', 1], ['S', '2']]",115,26.2,47,16,253.95409,57.204018,107.8682,32.066,609,139.2,243,87,572,135.4,203,105,3.59,0.792,1.38,0.37,13,3.8,6,1,30,7.2,9,6,55,13,18,10,30,6,20,0,13,3.8,6,1,3096.38,819.192,999.58,418.8,389.6,81.84,289,19.6,1960.34,469.74,1235.08,0,5078.524,1159.2696,2437,717.824,19.047,4.2008,10.5,0.87,2025,546,757,235,43.06,8.958,27.72,1.73,373.34,76.628,254.19,9.8,580.205,116.082,430,0.205,2.21
Mn11Si19,2,"[['Mn', '11'], ['Si', '19']]",39,18.03333333,25,14,83.02355,37.931435,54.93805,28.0855,272,129.3333333,161,111,250,121.2666667,139,111,0.86,0.422,0.46,0.4,8,4,4,4,14,6.733333333,8,6,20,9.466666667,12,8,5,1.833333333,5,0,6,3.266666667,4,2,1503.8,761.1,786.4,717.4,100,46.53333333,63,37,3202,1623.4,1685,1517,5346,2747.666667,2953,2393,9.63,4.152333333,7.3,2.33,1189,625.3,710,479,63.4,36.63333333,50.2,13.2,579,308.0333333,359,220,157.7,97.82333333,150,7.7,0.8
SrTe,2,"[['Sr', 1], ['Te', 1]]",90,45,52,38,215.22,107.61,127.6,87.62,342,171,219,123,333,166.5,195,138,2.09,1.045,1.12,0.97,8,4,6,2,20,10,10,10,40,20,22,18,30,15,20,10,8,4,6,2,1557.9,778.95,1008.4,549.5,236,118,199,37,1428.8,714.4,1042,386.8,2111.39,1055.695,1654,457.39,7.26,3.63,4.66,2.6,501,250.5,300,201,25.5,12.75,17.5,8,185,92.5,137,48,38,19,35,3,3.73
Pb0.97Se0.97Sn0.03Se0.03,4,"[['Pb', '0.97'], ['Se', '0.97'], ['Sn', '0.03'], ['Se', '0.03']]",200,57.52,82,34,483.83,141.75265,207.2,78.96,505,128.365,154,103,525,132.895,146,120,2.88,0.8375,1.19,0.5,20,5,6,4,38,9.97,12,8,78,20.91,26,16,70,19.85,30,10,20,5,6,4,3305.9,828.0965,940.9,708.6,154,38.03,52,26,2085.77,543.89205,600.65,490,6836,1504.08,2896,958,27.58,7.8491,11.34,4.48,986,225.35,321,127,22.77,5.12145,7.2,4.77,521.85,103.10615,293.13,26,103.04,18.24,67,0.52,0.21
LaCuOS,4,"[['La', 1], ['Cu', 1], ['O', 1], ['S', 1]]",110,27.5,57,8,250.5169,62.629225,138.9055,15.9994,475,118.75,195,48,510,127.5,207,66,3.561,0.89025,1.4,0.37,13,3.25,6,2,29,7.25,12,4,50,12.5,24,4,31,7.75,21,0,15,3.75,6,1,3596.98,899.245,1313.9,538.1,288.6,72.15,210,6,2993.42,748.355,1357.7,54.36,7406.012,1851.503,3743,90.188,17.052331,4.26308275,8.92,0.001331,2203,550.75,919,195,21.25,5.3125,13.02,0.22,713.21,178.3025,400,3.41,413.23158,103.307895,400,0.02658,3.14
AlSb,2,"[['Al', 1], ['Sb', 1]]",64,32,51,13,148.738539,74.3692695,121.757,26.981539,251,125.5,133,118,260,130,139,121,1.295,0.6475,0.76,0.535,8,4,5,3,16,8,10,6,28,14,21,7,20,10,20,0,8,4,5,3,1411.3,705.65,833.7,577.6,101,50.5,56,45,1837.41,918.705,933.52,903.89,4633,2316.5,2720,1913,9.3824,4.6912,6.684,2.6984,1111,555.5,904,207,30.53,15.265,19.85,10.68,360,180,293,67,259,129.5,235,24,1.67
Tl2AuPS4,4,"[['Tl', '2'], ['Au', 1], ['P', 1], ['S', '4']]",191,40,81,15,464.389602,95.62136275,204.3833,30.973762,515,116.5,174,87,493,119.125,145,105,3.1,0.71375,1.5,0.37,19,5,6,3,35,8.125,12,6,68,15.375,25,9,60,11.25,30,0,15,4.5,6,1,3490.68,884.84,1011.7,589.3,125.2,28.75,46,19.6,2619.49,545.10875,1337.58,317.25,6111.974,1253.18075,3081,553.15,34.885,6.5695,19.3,1.828,1732,497,769,129,19.33,3.59875,12.69,0.64,514.68,88.32,330,9.8,366.441,51.632,320,0.205,2.2
Cs3Sn3F2Cl7,4,"[['Cs', '3'], ['Sn', '3'], ['F', '2'], ['Cl', '7']]",131,30.13333333,55,9,306.0665332,69.40079976,132.90543,18.9984032,564,131.0666667,298,42,542,131.8,244,57,5.5,1.494,1.81,0.69,11,3.466666667,5,1,31,7.533333333,11,4,60,14.6,24,5,40,8,20,0,19,5.2,7,1,4016.4,1024.84,1681,375.7,469.36,97.51466667,399,3.76,1032.82,248.9073333,505.12,53.53,4171.81,892.4546667,2896,85.01,9.16297,1.833259333,7.28,0.00158,1761,424.7333333,824,217,12.77,3.395333333,7.2,0.26,370.62,76.63133333,293.13,3.27,103.0366,20.60784667,67,0.0089,2.96
Cs1.13Cd1.13Bi2.87Se6,4,"[['Cs', '1.13'], ['Cd', '1.13'], ['Bi', '2.87'], ['Se', '6']]",220,50.18867925,83,34,533.2568,121.3603978,208.98037,78.96,705,139.0008985,298,103,656,142.2461815,244,120,4.17,0.803171608,1.67,0.5,14,4.828391734,6,1,41,9.539083558,12,8,85,19.85175202,27,16,80,17.18778077,30,10,14,4.828391734,6,1,2887.6,814.8169811,940.9,375.7,521,72.08894879,399,26,1930.85,495.5747619,594.26,302,4801.7,1196.213926,1852,951.7,24.7005,6.000104672,9.8,1.8785,915,252.425876,321,122,24.49,6.551689128,10.89,2.09,350.08,71.93265049,160,26,140.52,15.74483378,96,0.52,1
AgI,2,"[['Ag', 1], ['I', 1]]",100,50,53,47,234.77267,117.386335,126.90447,107.8682,280,140,165,115,284,142,145,139,3.46,1.73,2.2,1.26,8,4,7,1,19,9.5,10,9,41,20.5,23,18,40,20,20,20,8,4,7,1,1600.2,800.1,869.2,731,87,43.5,52,35,1957.88,978.94,1235.08,722.8,3719,1859.5,2437,1282,16.74,8.37,10.5,6.24,664,332,429,235,19.14,9.57,11.31,7.83,275.09,137.545,254.19,20.9,430.449,215.2245,430,0.449,3.02
PtSb2,2,"[['Pt', 1], ['Sb', '2']]",129,60,78,51,316.837,146.198,195.08,121.757,310,147.6666667,177,133,275,138,139,136,1.385,0.715,0.76,0.625,11,5.333333333,6,5,21,10.33333333,11,10,45,22,24,21,49,23,29,20,6,3.666666667,5,1,1703.7,845.8,870,833.7,89,44.66666667,45,44,2948.89,1284.26,2045,903.89,6010,2641,4097,1913,28.134,11.606,21.45,6.684,340,182.3333333,207,133,39.53,19.79333333,19.85,19.68,557,208,490,67,95,39.66666667,71,24,0.11
Hg0.1Zn0.9Te,3,"[['Hg', '0.1'], ['Zn', '0.9'], ['Te', 1]]",162,43.5,80,30,393.58,103.255,200.59,65.39,436,133.95,171,123,392,130.5,138,122,2.73,0.869,1.02,0.74,10,4,6,2,30,9.2,12,8,58,17.6,24,12,60,16,30,10,10,4,6,2,2921.8,962.43,1008.4,906.4,110,37.75,39,34,1313.89,516.8745,692.8,234.29,2271.2,792.9855,1184,457.39,25.305,6.20225,13.545,4.66,728,282.05,388,139,27.22,12.184,17.5,2.35,226.2,80.51,119,48,131.3,55.915,120,3,1.83
TlBiTe3,3,"[['Tl', 1], ['Bi', 1], ['Te', '3']]",216,64,83,52,540.96367,159.232734,208.98037,127.6,422,133.6,156,123,431,141.4,148,138,3.5,1.088,1.5,0.97,14,5.2,6,3,34,10.8,12,10,74,23.6,27,22,80,24,30,20,14,5.2,6,3,2301,863.56,1008.4,589.3,133,41.4,50,37,1507.69,456.258,576.3,386.8,4069.39,996.834,1852,457.39,26.26,7.116,11.8,4.66,452,170.8,201,122,32.66,13.532,17.5,4.27,370.48,93.296,162.48,48,57,12.6,46,3,0.5
CuCl,2,"[['Cu', 1], ['Cl', 1]]",46,23,29,17,98.9987,49.49935,63.546,35.4527,224,112,145,79,234,117,132,102,2.54,1.27,1.81,0.73,7,3.5,5,2,13,6.5,7,6,23,11.5,12,11,10,5,10,0,8,4,7,1,1996.5,998.25,1251.1,745.4,67.6,33.8,53,14.6,1529.87,764.935,1357.7,172.17,3094.1,1547.05,2855,239.1,8.92289,4.461445,8.92,0.00289,862,431,478,384,16.24,8.12,13.02,3.22,310.22,155.11,300,10.22,400.0089,200.00445,400,0.0089,3.24
Pb0.92Sn0.08Se,3,"[['Pb', '0.92'], ['Sn', '0.08'], ['Se', 1]]",166,56.72,82,34,404.87,139.5404,207.2,78.96,402,128.14,154,103,405,132.72,146,120,2.38,0.825,1.19,0.5,14,5,6,4,30,9.92,12,8,62,20.76,26,16,60,19.6,30,10,14,5,6,4,2365,827.924,940.9,708.6,128,38.08,52,26,1595.77,541.5038,600.65,490,5878,1525.88,2896,958,23.1,7.7476,11.34,4.48,665,227.6,321,127,17.37,5.1822,7.2,4.77,495.85,106.0164,293.13,26,102.52,19.04,67,0.52,0.06
CdSe,2,"[['Cd', 1], ['Se', 1]]",82,41,48,34,191.371,95.6855,112.411,78.96,264,132,161,103,264,132,144,120,1.47,0.735,0.97,0.5,8,4,6,2,18,9,10,8,34,17,18,16,30,15,20,10,8,4,6,2,1808.6,904.3,940.9,867.7,72,36,46,26,1084.26,542.13,594.26,490,1998,999,1040,958,13.022,6.511,8.542,4.48,551,275.5,321,230,11.51,5.755,6.11,5.4,126.08,63.04,100.08,26,96.52,48.26,96,0.52,1.75
Cu3SbS4,3,"[['Cu', '3'], ['Sb', 1], ['S', '4']]",96,25.25,51,16,217.369,55.082375,121.757,32.066,365,114.5,145,87,376,119.375,139,105,1.86,0.55375,0.76,0.37,13,4.375,6,2,23,6.875,10,6,43,12.125,21,10,30,6.25,20,0,12,4,6,1,2578.68,883.5275,999.58,745.4,117.6,35.3,53,19.6,2649.95,816.30375,1357.7,388.36,5485.824,1668.662,2855,717.824,17.561,5.159,8.92,1.957,1296,522.375,705,207,34.6,8.22875,19.85,1.73,376.8,125.775,300,9.8,424.205,153.1025,400,0.205,0.75
GaAs,2,"[['Ga', 1], ['As', 1]]",64,32,33,31,144.64459,72.322295,74.92159,69.723,250,125,136,114,241,120.5,122,119,1.2,0.6,0.62,0.58,8,4,5,3,16,8,8,8,28,14,15,13,20,10,10,10,8,4,5,3,1525.8,762.9,947,578.8,83,41.5,54,29,302.93,151.465,302.93,0,3138,1569,2253,885,11.623,5.8115,5.903,5.72,699,349.5,371,328,33.33,16.665,27.72,5.61,288.45,144.225,256,32.45,79,39.5,50,29,1.46
As2Te3,2,"[['As', '2'], ['Te', '3']]",85,44.4,52,33,202.52159,106.528636,127.6,74.92159,237,119.4,123,114,257,130.4,138,119,1.55,0.814,0.97,0.58,11,5.6,6,5,18,9.2,10,8,37,19.2,22,15,30,16,20,10,11,5.6,6,5,1955.4,983.84,1008.4,947,66,33.8,37,29,386.8,232.08,386.8,0,1342.39,628.434,885,457.39,10.38,5.084,5.72,4.66,529,251.8,328,201,45.22,21.588,27.72,17.5,80.45,41.78,48,32.45,53,21.8,50,3,1.76
SrB6,2,"[['Sr', 1], ['B', '6']]",43,9.714285714,38,5,98.431,21.78371429,87.62,10.811,306,105.8571429,219,87,280,100.7142857,195,85,1.35,0.357142857,1.12,0.23,5,2.857142857,3,2,14,4.857142857,10,4,19,3.428571429,18,1,10,1.428571429,10,0,5,2.857142857,3,2,1350.1,764.7285714,800.6,549.5,219.4,45.91428571,199,20.4,3492,2248.857143,2450,1042,5585.15,3605.842857,3931.15,1654,5.06,2.48,2.6,2.46,1330,925.7142857,1030,300,58,44,50,8,644,454.1428571,507,137,62,28.14285714,35,27,3.68
GaN,2,"[['Ga', 1], ['N', 1]]",38,19,31,7,83.72974,41.86487,69.723,14.00674,192,96,136,56,193,96.5,122,71,0.75,0.375,0.62,0.13,6,3,3,3,12,6,8,4,16,8,13,3,10,5,10,0,8,4,5,3,1981.1,990.55,1402.3,578.8,61.4,30.7,54,7.4,366.11,183.055,302.93,63.18,2330.35,1165.175,2253,77.35,5.9041165,2.95205825,5.903,0.0011165,1411,705.5,1040,371,5.97,2.985,5.61,0.36,258.79,129.395,256,2.79,29.02583,14.512915,29,0.02583,3.25
Cd3As2,2,"[['Cd', '3'], ['As', '2']]",81,42,48,33,187.33259,97.415236,112.411,74.92159,275,142.2,161,114,263,134,144,119,1.55,0.814,0.97,0.58,7,3.2,5,2,18,9.2,10,8,33,16.8,18,15,30,16,20,10,7,3.2,5,2,1814.7,899.42,947,867.7,75,39.2,46,29,594.26,356.556,594.26,0,1925,978,1040,885,14.262,7.4132,8.542,5.72,558,269.2,328,230,33.83,14.754,27.72,6.11,132.53,73.028,100.08,32.45,146,77.6,96,50,0.24
WO3,2,"[['W', 1], ['O', '3']]",82,24.5,74,8,199.8394,57.95955,183.84,15.9994,241,84.25,193,48,228,90,162,66,2.02,1.205,1.4,0.62,8,3,6,2,16,6,12,4,28,9,24,4,24,6,24,0,8,5,6,2,2083.9,1177.925,1313.9,770,81,23.25,75,6,3734.36,960.77,3680,54.36,6026.188,1551.641,5936,90.188,19.351331,4.83849825,19.35,0.001331,1051,722.25,919,132,35.22,8.915,35,0.22,803.41,202.5575,800,3.41,170.02658,42.519935,170,0.02658,2.9
EuYb2Se4,3,"[['Eu', 1], ['Yb', '2'], ['Se', '4']]",167,48.42857143,70,34,403.965,116.2692857,173.04,78.96,556,155.2857143,231,103,505,150.2857143,198,120,2.305,0.666142857,0.947,0.5,12,4.714285714,6,3,32,9.714285714,12,8,64,19.42857143,24,16,50,14.28571429,20,10,10,4.285714286,6,2,2090.9,788.0857143,940.9,547,355,82.14285714,187,26,2686,750.4285714,1099,490,4374,1278.714286,1713,958,16.716,5.304714286,6.977,4.48,657,253.4285714,321,154,22.4,6.614285714,9.3,5.4,361.01,85.44857143,175.88,26,53.52,13.44,39,0.52,1.3
